Team,Total Matches Played,Total Wins,Total Draws,Total Losses,Goals Scored,Goals Conceded,Goal Difference,Average Goals Scored,Average Goals Conceded,Win Rate,Draw Rate,Loss Rate,Clean Sheets,Failure to Score,Recent Form
Mexico,204,110,48,46,319,198,121,1.56,0.97,0.54,0.24,0.23,95,52,DDWWW
South Africa,150,65,59,26,206,126,80,1.37,0.84,0.43,0.39,0.17,66,41,LDLWL
South Korea,166,92,37,37,277,153,124,1.67,0.92,0.55,0.22,0.22,85,35,LLWWW
Czech Republic,131,61,26,44,216,164,52,1.65,1.25,0.47,0.2,0.34,34,29,DDWWL
Canada,123,62,31,30,230,114,116,1.87,0.93,0.5,0.25,0.24,54,31,DDWDD
Bosnia and Herzegovina,118,42,30,46,155,157,-2,1.31,1.33,0.36,0.25,0.39,37,37,DDDWW
Qatar,183,87,39,57,300,214,86,1.64,1.17,0.48,0.21,0.31,68,40,LDLLW
Switzerland,142,69,39,34,258,151,107,1.82,1.06,0.49,0.27,0.24,52,28,DLDWD
Brazil,150,97,32,21,301,100,201,2.01,0.67,0.65,0.21,0.14,79,24,WLDWL
Morocco,153,98,33,22,268,81,187,1.75,0.53,0.64,0.22,0.14,91,33,WDWDW
Haiti,96,44,20,32,187,124,63,1.95,1.29,0.46,0.21,0.33,30,27,DLWWL
Scotland,119,52,24,43,170,153,17,1.43,1.29,0.44,0.2,0.36,42,31,LLWLW
United States,185,98,36,51,345,189,156,1.86,1.02,0.53,0.19,0.28,74,36,LLWWW
Paraguay,119,31,36,52,109,159,-50,0.92,1.34,0.26,0.3,0.44,33,50,LWWLL
Australia,128,68,26,34,236,119,117,1.84,0.93,0.53,0.2,0.27,55,28,WWLLL
Turkey,137,70,32,35,231,168,63,1.69,1.23,0.51,0.23,0.26,47,30,WWDWW
Germany,154,87,36,31,346,166,180,2.25,1.08,0.56,0.23,0.2,55,23,WWWWW
Curaçao,92,35,25,32,156,108,48,1.7,1.17,0.38,0.27,0.35,31,30,LLDWD
Ivory Coast,142,74,39,29,224,121,103,1.58,0.85,0.52,0.27,0.2,59,35,WWLWW
Ecuador,130,50,42,38,173,139,34,1.33,1.07,0.38,0.32,0.29,49,36,DDWDD
Netherlands,143,81,31,31,308,148,160,2.15,1.03,0.57,0.22,0.22,53,20,DWWDW
Japan,161,101,27,33,369,139,230,2.29,0.86,0.63,0.17,0.2,76,26,WWWWW
Sweden,147,71,27,49,230,160,70,1.56,1.09,0.48,0.18,0.33,54,36,WWDLL
Tunisia,155,79,40,36,221,124,97,1.43,0.8,0.51,0.26,0.23,70,45,DWDDL
Belgium,148,98,27,23,358,129,229,2.42,0.87,0.66,0.18,0.16,65,18,DWWDW
Egypt,141,79,34,28,205,95,110,1.45,0.67,0.56,0.24,0.2,74,31,DWDLW
Iran,135,87,28,20,267,90,177,1.98,0.67,0.64,0.21,0.15,75,21,WLDDW
New Zealand,79,32,14,33,125,82,43,1.58,1.04,0.41,0.18,0.42,31,28,WLLLD
Spain,148,95,35,18,347,115,232,2.34,0.78,0.64,0.24,0.12,72,17,DWDWW
Cape Verde,100,44,26,30,122,98,24,1.22,0.98,0.44,0.26,0.3,38,36,DLDDW
Saudi Arabia,170,74,37,59,235,187,48,1.38,1.1,0.44,0.22,0.35,65,50,LLLWL
Uruguay,139,66,38,35,201,126,75,1.45,0.91,0.47,0.27,0.25,65,39,DDLDW
France,159,106,31,22,337,135,202,2.12,0.85,0.67,0.19,0.14,71,25,WWWWD
Senegal,151,95,39,17,256,96,160,1.7,0.64,0.63,0.26,0.11,79,26,WWLWW
Iraq,160,68,52,40,200,155,45,1.25,0.97,0.42,0.33,0.25,62,54,WLLWW
Norway,121,59,26,36,213,132,81,1.76,1.09,0.49,0.21,0.3,47,29,DLWWD
Argentina,155,102,33,20,307,102,205,1.98,0.66,0.66,0.21,0.13,91,25,WWWWW
Algeria,153,96,32,25,330,132,198,2.16,0.86,0.63,0.21,0.16,65,18,DWLWW
Austria,127,69,24,34,217,128,89,1.71,1.01,0.54,0.19,0.27,42,24,WWDWL
Jordan,170,73,42,55,249,171,78,1.46,1.01,0.43,0.25,0.32,71,56,DDLWW
Portugal,155,97,32,26,339,122,217,2.19,0.79,0.63,0.21,0.17,75,32,WDWLD
DR Congo,130,54,38,38,169,122,47,1.3,0.94,0.42,0.29,0.29,46,34,WWLWD
Uzbekistan,133,69,27,37,198,116,82,1.49,0.87,0.52,0.2,0.28,63,39,DWDDW
Colombia,143,71,43,29,218,123,95,1.52,0.86,0.5,0.3,0.2,68,37,LLWWD
England,153,96,32,25,316,103,213,2.07,0.67,0.63,0.21,0.16,84,26,LDWWW
Croatia,147,78,36,33,261,151,110,1.78,1.03,0.53,0.24,0.22,55,26,LWWWW
Ghana,128,52,36,40,174,130,44,1.36,1.02,0.41,0.28,0.31,47,38,LLLLW
Panama,165,64,42,59,222,220,2,1.35,1.33,0.39,0.25,0.36,50,52,WDLDW
